"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN","WSF2"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-26","1.57","0.00","57","67","47","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-27","2.24","0.24","53","56","49","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-28","2.01","0.00","54","64","44","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-29","2.91","0.00","56","63","48","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-01","1.79","0.00","57","65","48","13.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-02","3.80","0.00","58","70","46","13.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-03","2.68","0.28","56","62","50","8.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-04","2.46","0.07","53","57","49","8.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-05","6.49","1.71","51","56","45","17.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-06","3.36","0.04","51","58","44","8.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-07","2.46","0.00","51","58","43","8.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-08","4.70","0.71","55","60","49","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-09","2.68","0.01","54","62","46","13.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-10","1.79","0.00","59","72","46","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-11","2.01","0.00","66","80","52","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-12","1.79","0.00","63","75","50","8.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-13","2.24","0.00","62","68","55","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-14","1.79","0.00","62","74","49","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-15","2.91","0.00","62","72","52","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-16","3.80","0.00","62","68","56","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-17","2.24","0.00","65","72","57","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-18","2.01","0.00","67","80","53","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-19","2.68","0.00","65","75","54","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-20","5.14","0.00","63","71","55","17.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-21","4.70","0.00","64","73","54","13.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-22","2.68","0.00","62","74","50","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-23","2.68","0.00","60","70","50","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-24","2.46","0.00","60","67","52","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-25","2.46","0.00","59","66","51","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-26","2.91","0.00","60","69","50","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-27","2.01","0.00","61","67","55","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-28","2.24","0.00","60","65","54","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-29","2.68","0.00","59","65","53","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-30","2.46","0.00","60","67","52","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-31","5.14","0.00","66","83","49","19.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-01","4.70","0.00","73","85","60","14.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-02","3.13","0.00","67","79","55","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-03","2.68","0.00","67","76","57","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-04","2.68","0.00","66","75","56","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-05","2.46","0.00","64","74","54","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-06","3.58","0.00","63","68","57","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-07","2.46","0.00","62","69","55","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-08","2.91","0.00","63","73","53","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-09","2.68","0.00","61","70","52","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-10","3.13","0.00","63","70","56","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-11","2.68","0.00","67","78","55","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-12","2.68","0.00","68","82","53","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-13","2.91","0.00","64","73","54","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-14","4.25","0.00","60","66","54","14.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-15","2.91","0.00","61","66","55","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-16","3.13","0.00","62","68","55","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-17","4.03","1.24","56","60","52","13.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-18","5.14","0.25","58","65","50","13.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-19","3.13","0.00","60","69","50","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-20","2.91","0.00","65","78","52","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-21","4.03","0.00","62","68","55","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-22","3.80","0.00","61","67","55","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-23","2.91","0.00","62","69","54","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-24","1.79","0.00","64","76","52","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-25","2.24","0.00","68","79","57","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-26","1.79","0.00","74","89","59","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-27","2.91","0.00","69","77","60","13.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-28","2.91","0.00","63","68","58","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-29","2.91","0.00","65","75","54","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-30","1.79","0.00","70","83","57","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-01","2.68","0.00","73","85","60","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-02","2.91","0.00","69","78","60","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-03","3.13","0.00","68","77","59","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-04","3.58","0.00","68","74","62","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-05","2.91","0.00","66","70","61","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-06","3.36","0.00","65","72","58","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-07","3.80","0.00","65","72","57","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-08","2.68","0.00","68","75","60","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-09","2.46","0.00","67","73","60","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-10","3.80","0.00","64","70","58","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-11","5.59","0.00","66","77","54","15.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-12","3.13","0.00","70","84","55","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-13","2.91","0.00","68","81","55","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-14","3.80","0.00","63","72","54","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-15","4.47","0.00","64","73","55","14.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-16","4.70","0.00","61","68","54","16.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-17","3.36","0.00","64","71","56","13.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-18","2.68","0.00","67","77","57","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-19","2.68","0.00","72","83","60","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-20","2.91","0.00","73","86","60","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-21","2.24","0.00","72","82","61","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-22","3.13","0.00","69","76","62","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-23","1.79","0.00","66","71","61","8.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-24","3.13","0.00","66","70","62","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-25","3.80","0.00","65","70","59","10.1"
